,product_id,category_id,category_code,brand,price,row_id
0,1003756,2053013555631882655,electronics.smartphone,nokia,72.28,0
1,1004872,2053013555631882655,electronics.smartphone,samsung,286.35,1
2,1306571,2053013558920217191,computers.notebook,acer,2264.92,2
3,1004750,2053013555631882655,electronics.smartphone,samsung,197.43,3
4,15100297,2053013557024391671,,,257.15,4
5,4804055,2053013554658804075,electronics.audio.headphone,apple,189.91,5
6,3300488,2053013555355058573,,redmond,100.36,6
7,14700205,2053013557133443581,furniture.living_room.cabinet,sv,282.89,7
8,1801929,2053013554415534427,electronics.video.tv,samsung,560.89,8
9,28715760,2053013565069067197,apparel.shoes.keds,nexpero,107.85,9
10,1500460,2053013552955916539,computers.peripherals.printer,epson,1488.53,10
11,26300163,2053013563424899933,,,269.57,11
12,23000075,2164367422893589471,,mobil,24.45,12
13,1005100,2053013555631882655,electronics.smartphone,samsung,154.42,13
14,1307366,2053013558920217191,computers.notebook,lenovo,248.62,14
15,1005105,2053013555631882655,electronics.smartphone,apple,1415.48,15
16,2700458,2053013563911439225,appliances.kitchen.refrigerators,atlant,241.93,16
17,6000282,2053013560807654091,auto.accessories.alarm,starline,60.23,17
18,1005021,2053013555631882655,electronics.smartphone,oppo,386.06,18
19,3100755,2053013555262783879,appliances.kitchen.blender,redmond,77.14,19
20,26500081,2053013563550729061,,lucente,56.89,20
21,12703015,2053013553559896355,,cordiant,42.99,21
22,10502982,2053013553199186187,,lanard,32.15,22
23,10900292,2053013555069845885,appliances.kitchen.mixer,vitek,18.76,23
24,1004833,2053013555631882655,electronics.smartphone,samsung,174.75,24
25,22900022,2053013561780732677,furniture.bedroom.pillow,,52.38,25
26,11400257,2053013558458843721,,remax,33.44,26
27,12715472,2053013553559896355,,michelin,142.47,27
28,3700926,2053013565983425517,appliances.environment.vacuum,samsung,64.08,28
29,1801590,2053013554415534427,electronics.video.tv,sony,607.22,29
30,5700619,2053013553970938175,auto.accessories.player,jvc,46.33,30
31,2800382,2053013563835941749,appliances.kitchen.refrigerators,,283.12,31
32,15901683,2053013558190408249,,,36.04,32
33,1004840,2053013555631882655,electronics.smartphone,huawei,963.27,33
34,22700128,2053013556168753601,,stels,69.24,34
35,7006067,2053013560346280633,kids.carriage,lorelli,85.67,35
36,1307067,2053013558920217191,computers.notebook,lenovo,251.74,36
37,5800108,2053013553945772349,electronics.audio.subwoofer,alpine,164.74,37
38,14700827,2053013557133443581,furniture.living_room.cabinet,,185.31,38
39,1801929,2053013554415534427,electronics.video.tv,samsung,560.89,39
40,28100119,2053013564918072245,,,153.16,40
41,1004749,2053013555631882655,electronics.smartphone,samsung,203.35,41
42,5100738,2053013553341792533,electronics.clocks,samsung,154.16,42
43,1004767,2053013555631882655,electronics.smartphone,samsung,254.76,43
44,1004750,2053013555631882655,electronics.smartphone,samsung,203.35,44
45,15100337,2053013557024391671,,,257.15,45
46,1004873,2053013555631882655,electronics.smartphone,samsung,388.81,46
47,13200417,2053013557192163841,furniture.bedroom.bed,,129.45,47
48,1005142,2053013555631882655,electronics.smartphone,apple,2072.1,48
49,12703498,2053013553559896355,,cordiant,38.35,49
50,1004578,2053013555631882655,electronics.smartphone,oppo,257.38,50
51,15100309,2053013557024391671,,,385.85,51
52,30100029,2053013556110033341,,alteco,28.83,52
53,17300664,2053013553853497655,,chanel,175.04,53
54,10900300,2053013555069845885,appliances.kitchen.mixer,philips,41.16,54
55,32900083,2055156924407612189,accessories.bag,a-elita,8.49,55
56,1005115,2053013555631882655,electronics.smartphone,apple,975.57,56
57,1005115,2053013555631882655,electronics.smartphone,apple,975.57,57
58,26200211,2053013563693335403,,,277.74,58
59,4803977,2053013554658804075,electronics.audio.headphone,samsung,107.8,59
60,19200155,2053013556202308035,construction.tools.saw,huter,52.23,60
61,1307238,2053013558920217191,computers.notebook,lenovo,303.46,61
62,6201016,2053013552293216471,appliances.environment.air_heater,,81.57,62
63,10900305,2053013555069845885,appliances.kitchen.mixer,elenberg,25.71,63
64,12202626,2116907525176557699,sport.bicycle,,210.81,64
65,1801766,2053013554415534427,electronics.video.tv,artel,150.7,65
66,17301342,2053013553853497655,,lanvin,33.46,66
67,1003363,2053013555631882655,electronics.smartphone,apple,535.38,67
68,21100127,2053013561352913645,,ferrino,923.58,68
69,12701967,2053013553559896355,,cordiant,32.18,69
70,6400162,2053013554121933129,computers.components.cpu,intel,207.73,70
71,26403212,2053013563651392361,,,184.82,71
72,3601018,2053013563810775923,appliances.kitchen.washer,bosch,1067.7,72
73,26600075,2053013563517174627,,lucente,96.53,73
74,1004833,2053013555631882655,electronics.smartphone,samsung,174.75,74
75,32701288,2055156924466332447,,zemex,96.03,75
76,1480440,2053013561092866779,computers.desktop,pulser,1418.29,76
77,22700524,2053013556168753601,,force,241.96,77
78,5100257,2053013553341792533,electronics.clocks,wonlex,28.31,78
79,12300261,2053013556311359947,construction.tools.drill,dewalt,114.66,79
80,2601106,2053013563970159485,,gefest,180.16,80
81,5100257,2053013553341792533,electronics.clocks,wonlex,28.31,81
82,34800179,2062461754293617058,,,51.22,82
83,1004792,2053013555631882655,electronics.smartphone,xiaomi,455.35,83
84,7300482,2053013552863641845,,apacer,62.55,84
85,1004868,2053013555631882655,electronics.smartphone,xiaomi,514.79,85
86,22700084,2053013556168753601,,force,241.94,86
87,3300297,2053013555355058573,,saturn,53.05,87
88,1005105,2053013555631882655,electronics.smartphone,apple,1415.48,88
89,1004653,2053013555631882655,electronics.smartphone,samsung,636.05,89
90,7600317,2053013552821698803,,asus,53.8,90
91,1004489,2053013555631882655,electronics.smartphone,huawei,124.2,91
92,12300261,2053013556311359947,construction.tools.drill,dewalt,114.66,92
93,8800048,2053013555573162395,electronics.telephone,nokia,22.55,93
94,5301129,2053013563173241677,,philips,36.01,94
95,5100469,2053013553341792533,electronics.clocks,elari,34.71,95
96,1003304,2053013555631882655,electronics.smartphone,apple,571.56,96
97,1005021,2053013555631882655,electronics.smartphone,oppo,386.06,97
98,8500387,2053013552259662037,,,1437.59,98
99,6200949,2053013552293216471,appliances.environment.air_heater,,10.17,99
100,17301522,2053013553853497655,,lancome,124.84,100
101,1004858,2053013555631882655,electronics.smartphone,samsung,134.41,101
102,12300561,2053013556311359947,construction.tools.drill,makita,118.2,102
103,38900030,2085718636156158307,,sv,110.66,103
104,2701707,2053013563911439225,appliances.kitchen.refrigerators,samsung,711.47,104
105,1004833,2053013555631882655,electronics.smartphone,samsung,174.75,105
106,1004873,2053013555631882655,electronics.smartphone,samsung,388.81,106
107,4100129,2053013561218695907,,sony,463.02,107
108,3200549,2053013555321504139,appliances.kitchen.meat_grinder,dauscher,25.71,108
109,15700035,2053013559733912211,,,282.89,109
110,8800920,2053013555573162395,electronics.telephone,texet,20.05,110
111,18400093,2053013553912217915,,,360.37,111
112,4700447,2053013560899928785,auto.accessories.videoregister,,68.99,112
